"Phrases"
"dean college"
"college freddye"
"freddye hill"
"hill resigned"
"resigned position"
"position wednesday"
"wednesday oct"
"oct continues"
"continues decline"
"decline comment"
"comment specific"
"specific circumstances"
"circumstances surrounding"
"surrounding unexpected"
"unexpected leave"
"leave agreed"
"agreed speak"
"speak tenure"
"tenure university"
"university tentative"
"tentative plans"
"plans future"
"future according"
"according hill"
"hill president"
"president douglas"
"douglas bennet"
"bennet office"
"office dean"
"dean college"
"college currently"
"currently review"
"review vice"
"vice president"
"president peter"
"peter patton"
"patton will"
"will serve"
"serve interim"
"interim dean"
"dean senior"
"senior associate"
"associate provost"
"provost dean"
"dean continuing"
"continuing studies"
"studies billy"
"billy weitzer"
"weitzer director"
"director affirmative"
"affirmative action"
"action kathryn"
"kathryn friedman"
"friedman dean"
"dean student"
"student services"
"services michael"
"michael whaley"
"whaley working"
"working patton"
"patton manage"
"manage daytoday"
"daytoday operation"
"operation deans"
"deans office"
"office patton"
"patton also"
"also served"
"served interim"
"interim dean"
"dean prior"
"prior hills"
"hills appointment"
"appointment search"
"search committee"
"committee according"
"according bennet"
"bennet national"
"national search"
"search permanent"
"permanent successor"
"successor will"
"will launched"
"launched winter"
"winter going"
"going take"
"take look"
"look one"
"one job"
"job two"
"two bennet"
"bennet said"
"said need"
"need good"
"good answer"
"answer position"
"position doesnt"
"doesnt overwhelm"
"overwhelm peter"
"peter patton"
"patton fulfilling"
"fulfilling everything"
"everything hill"
"hill hes"
"hes support"
"support didnt"
"didnt hill"
"hill said"
"said hoped"
"hoped establish"
"establish discourse"
"discourse meant"
"meant encourage"
"encourage members"
"members community"
"community share"
"share ideas"
"ideas prior"
"prior resignation"
"resignation said"
"said often"
"often past"
"past forums"
"forums organized"
"organized gatherings"
"gatherings student"
"student voices"
"voices control"
"control direction"
"direction meeting"
"meeting need"
"need make"
"make safe"
"safe spaces"
"spaces kinds"
"kinds voices"
"voices certain"
"certain perspectives"
"perspectives truncated"
"truncated discourse"
"discourse dominated"
"dominated perspectives"
"perspectives voices"
"voices extent"
"extent frame"
"frame discussions"
"discussions debates"
"debates issues"
"issues said"
"said hill"
"hill also"
"also expressed"
"expressed desire"
"desire see"
"see improvements"
"improvements made"
"made honor"
"honor code"
"code code"
"code nonacademic"
"nonacademic conduct"
"conduct many"
"many goals"
"goals hill"
"hill said"
"said one"
"one achieve"
"achieve develop"
"develop dialogues"
"dialogues diversity"
"diversity wesleyan"
"wesleyan st"
"st century"
"century also"
