"title","date","authors","content"
"Syracuse U. president applies town-gown relations to Wes","2006-12-01","by Katherine Manchester, Assistant News","Interactive, reciprocal initiatives between colleges and their local communities are essential for higher education to continue to enrich society, guest speaker Nancy Cantor said in a Center for the Arts (CFA) lecture on Wednesday night in the Memorial Chapel. “Momentum is growing to take public scholarship seriously, as a movement that will challenge and reshape the relationship between our colleges and universities and the society of which they are a part,” she said.  Cantor is the 11th chancellor and president of Syracuse University, in Syracuse, New York. She has gained national recognition for her strong advocacy in favor of public scholarship, a policy that she sees as fundamental if universities seek to benefit their communities. “If universities are to continue to expand our essential role in our democracy, producing innovation that makes a difference and educating enthusiastic citizens as well as skilled technicians, we must learn to construct these local collaborations in shared third spaces,” she said.  In the practice of public scholarship, Cantor said, the outward-looking stance of the projects often cut across the boundaries of traditional disciplines, geographies and roles. “The enterprise itself changes the relationship between expert and novice, between teaching, scholarship, and civic engagement—often rolling them all into one,” she said.  Cantor cited a number of Syracuse’s efforts to develop public scholarship, including the renovation of an old furniture warehouse in downtown Syracuse to house the university’s School of Architecture. “The Warehouse” also contains a public gallery, a café, and meeting rooms to be used by local artists and other community members.   “We are seeing the catalyzing effect of both the Warehouse itself and the concentration of design and entrepreneurial expertise downtown,” Cantor said.  At the moment, Syracuse’s most ambitious project is participation in constructing a “Connective Corridor,” a street that will run all the way across New York State in order to link suburbs with downtowns. In Syracuse’s case, this street will serve to connect the university with the city. “This will be a cultural corridor,” said Cantor. “It will connect all of the city’s cultural institutions [like] the local historical society, museums, concert halls, theaters, and galleries.”   Cantor stressed that, if carried out successfully, public scholarship initiatives allow universities and communities to interact in three crucial ways. “First, there is innovation that matters locally,” she said. “Public scholarship promotes discovery work outside of the ivory tower. Second, it promotes conversations that change the dialogue from seeing citizenship as a matter of stakeholder rights, to an act of community building among citizens with responsibilities to each other. Third, it brings new and diverse voices to the table, which has a strong democratizing effect.”  In the lengthy question-and-answer session that followed, Cantor addressed the audience’s queries about the finer points of public scholarship, and what stood in the way of such programs.  “Everyone thinks the question of money is the hardest,” she said, “But we have found that if projects are clearly seen as for, by, and with the community, they take on a lot of momentum very quickly, which galvanizes support. We don’t do projects within the community unless we have multiple partners.” Cantor noted that one of the greatest challenges was promoting the idea of change at a local level. “Sometimes people view local initiatives as parochial and narrow,” she said. “They ask, ‘What about the big picture?’ I don’t know about Middletown, but Syracuse has instances of every single global problem out there, especially in terms of immigration.”  One student questioned changes in perceptions of student safety, given a situation where so much community-student interaction was taking place. “I don’t think that students are any more at risk downtown than they are on University Hill, but we took the issue very seriously because we knew that safety concerns would be a psychological barrier to students’ comfort,” Cantor said.  While the audience was relatively small and consisted primarily of faculty and administrators, Cantor was well received.  Lauren Tinkoff ’07, student coordinator for the Green Street Arts Center, enjoyed the talk and found Cantor’s ideas applicable to the University community. “The lecture was especially relevant to me because Green Street is a practical application of the theory she discussed,” Tinkoff said. “Her talk was an inspiration to Wesleyan to expand its partnerships with Middletown and see the potential for positive change.”"
"Scobey urges an end to insular academic attitudes","2007-02-09","by Chelsea Sprayregan, Contributing Writer","David Scobey believes he has the solution for two cultural crises.  Speaking last Wednesday at the Memorial Chapel, he discussed the growing movement toward integration of university arts and humanities with community engagement.  Scobey emphasized the benefits that such integration would have in solving the respective problems of the university and the community at large. The universities’ predicament, Scobey explained, is a growing public disillusionment with higher education.  Citing budget cuts and a referendum vote against affirmative action in Michigan as evidence, Scobey explained that the public no longer considers the universities’ vast resources and autonomy to be justified.  These attitudes, accompanied by rising tuition rates throughout the country, have further entrenched the universities’ reputation as a bastion of elitism, isolated from general society. According to Scobey, this issue goes hand-in-hand with a larger societal crisis: that of growing distrust in government.  While widespread voter apathy presents the most obvious evidence of this skepticism, Scobey maintained it is only a symptom of a larger problem. Scobey argued that these crises can only be solved together, through community partnerships with university arts and humanities.  He advocated the creation of third spaces, where members of diverse groups can come together in collaborative ways to develop both civic culture and intellectual life, with the underlying belief that each group can offer the other something it could not have gleaned on its own. Members of the academic community, Scobey said, can gain a richer understanding of the people they purport to explain.   Scobey emphasized that the university need not lose any of its academic rigor, but rather that professional academics must apply this intellectualism in new ways based on insights they would not otherwise have found.  Scobey described the moment when he chose to work toward community engagement. “It felt like a turn away from the provincialism of academic culture in which I’d boxed myself,” Scobey said. In an often polarized society, Scobey explained that these community programs can help people to gain understanding of groups with which they would not normally engage.  More importantly, these diverse groups can work together, using the arts and humanities, in the process of “meaning making,” and thus regain a stake in their own civic life.  Given this dynamic definition of culture, university humanities and the arts must participate in the process of meaning making, or else its work of understanding society becomes a falsity. Scobey has directed two centers for community partnerships, and he used his experiences to ground otherwise abstract ideas in examples of successful projects.  Scobey spoke of a piece of artwork he recently viewed, a collage of different media that included interviews with members of the Arab community in Dearborn, MI and a poem about riding the subway after Sept. 11.  The piece came to fruition through the University of Michigan’s Arts of Citizenship program, of which he is former director. As present director of the Harward Center for Community Partnerships at Bates College, Scobey is working with a group of students in collaboration with a local museum to create an exhibit honoring the experience of Franco-American mill workers in Bates’ hometown of Lewiston, ME.  Scobey stressed the importance of collaboration within both projects.  “We create products and insights that none of us could create separately,” Scobey said. Before his lecture, Scobey spent the day at both the University and the Green Street Arts Center.  “It’s potentially just the kind of ‘third space,’ co-developed by the University and the community, where transformative work can happen that will enrich both Middletown’s North End community and the Wesleyan education,” Scobey said. The audience of arts and humanities faculty, community partners, and a few students proved highly receptive to Scobey’s ideas.  One woman raised her hand at the end simply to thank Scobey for his inspiring lecture.  Most of the questions addressed practical ways in which Scobey’s ideas might be applied. “It was very nice to hear someone talk about interaction rather than just seeing community involvement as going in and fixing whatever problems we see,” said Emily Sheehan ’10. The lecture mostly addressed institutional changes, and thus the faculty who might make them possible.  Yet the students who did attend were impressed.   “I think this is definitely going to give me some added inspiration to figure out what I owe the Middletown community or what I can learn from the Middletown community, and I hope to begin that process soon,” said Ari Tolman ’10. Scobey came to the University after meeting Pamela Tatge, director of Wesleyan’s Center for the Arts, and Rob Rosenthal, director of the University’s Service Learning Center, part of the Center for Community Partnerships, at a consortium of over 70 colleges called Imagining America. Imagining America is committed to work in public scholarships in the arts and humanities.   Tatge and Rosenthal invited Scobey to lecture as part of a series co-sponsored by their respective organizations entitled Scholarship and Action: The Case for Engagement. Nancy Cantor, president of Syracuse University, whom Tatge and Rosenthal also met at Imagining America, gave the series’ keynote address in November.  The three subsequent speakers, Scobey being the first, each represent one of the University’s academic divisions.  Tom Hayden will speak in March on behalf of the social sciences.  The speaker for April, representing math and natural sciences, is yet to be announced."
"Q and A with President-elect Michael Roth","2007-05-01","by Greg DubinskyEric Lach, Editors-in-Chief","Saturday morning, we sat down with Michael Roth to ask him about his trip, his personal experiences as a student, and his plans for Wesleyan come fall. Note that the interview is edited for brevity and clarity.  Greg Dubinsky: I was thinking about the focus of your work while you were speaking [in the Memorial Chapel on Friday], this idea of freedom through work. I almost felt like I was reading Introduction to the Reading of Hegel. [Editor’s note: This is a book written by a philosopher, Alexander Kojéve, whose correspondence Michael Roth edited.] Michael Roth: (Laughs) Oh goodness gracious, that’s right, you’re on the inside. GD: It was interesting to me to find out a bit more about that, and how you would connect that idea to practical outcomes and issues such as chalking or the independence of departments, or how that translates into practice.  MR: I think the way it would play out in specific Wesleyan policy or around Wesleyan issues is something I don’t know enough yet about to comment in an interesting way. Someone gave me a box of chalk yesterday and my daughter immediately grabbed it thinking it was for her. She said, can I play with this? “No!” What I was trying to say yesterday in regard to freedom and work was that the education at Wesleyan taught me that there was a way one could work that was an expression of what one hoped to be. And getting a sense of that as a social scientist, a biologist, a musician or a writer, whatever the field, gives one a sense of human capacity and a feeling of freedom that sets a platform for how one wants to work after graduation. One wants to find a way of working in the world that is significant for oneself and one sees making a contribution in the world. And there are lots of ways to do that. It doesn’t have to be through some narrow prism of academic work or narrow version of activism. So the contrast I was trying to draw was between that and the kind of work where one feels alien to oneself. Work that most people have to do in our culture. Which is, it may be monetarily satisfying, or not, but you don’t feel like yourself when you’re at work. What I learned at Wesleyan, from doing it myself and from looking around at people who were joyful about what they were doing, was that there are ways of being dedicated to a pursuit that allows you to discover who you are and what you want to be and how you can make a difference in the world.  Autonomy of departments, I don’t know. I don’t know enough about what that means at Wesleyan. I’m not a departmentally oriented academic. I can say that. It’s probably pretty clear from what I’ve done. I don’t believe in the silos of academic departments, I think that requirements are bad. I learned that here—we debated that endlessly when I was a student. I think it’s great for students to have the freedom to choose the kinds of courses they want to take and to make their own way. Sometimes that can be within a structure. If you’re a music major, there’s a structure of how to progress, or [also] if you’re a biology major. Sometimes it can be much more self-generated, as I had a University major. I think the key is that you are following your passion and you are discovering what you love to do. My sense is that the reason a lot of students become so loyal to Wesleyan is that they really do discover what they love to do here. Then they get better at it and that’s great fun and exciting. And they make friends around their work and sometimes through their work. And that’s a gift I believe. As a result, students may be critical of the University, because they want it to be even better, to provide that all the time or in a deeper way, but they are also incredibly loyal to the University because of that gift, because of that experience. I hope that begins to answer that question. Six months out, your successors can expect a more detailed answer.  Eric Lach: It seems people were pretty pleased with your talk yesterday in Memorial Chapel. I’m wondering how you set out to write your introduction? MR: (Laughs) I didn’t write anything, I didn’t know what I was going to say. I do have this, I don’t know what to call it, maybe it’s a symptom, maybe it’s a tick, maybe it’s a style. I do like to improvise. I guess I learned that at Wesleyan. I took jazz piano lessons here from a wonderful instructor.  Justin gave me a couple of points, to thank so and so. And I looked at those in the afternoon, and then I was thinking in the afternoon, “What am I going to talk about, what am I going to talk about, this is too important, Roth, to do your typical improvisation.”  In San Francisco, I do a lot of public speaking, and it’s like a dog that can sing—“Gosh, he’s improvising again.” And I enjoy that and people seem to like it. But I thought this is going to be webcast, I can’t say, “Whoa, I didn’t really say that.” “Yes, you did!” And I kept wondering if I should write it down, I heard the voices of authority saying, “You should write it out, you’re a writer.” But I really felt like the energy would be better, and everybody said it should be brief, if I just said what came to mind.  So, I thought, okay, as you know, I spent a lot of time with Hegel at Wesleyan and since, so I do think in threes. So I thought: if I have three points in my head I won’t get lost. And then it just occurred to me when I saw the police car in front of South College as we were getting photographs, I thought, “Okay, I’ll do liberty, equality, and fraternity.” So then I was a little nervous, because I thought, that’s all I knew that I was going to do, talk about freedom, equality, and, when I teach I translate “fraternity” into “solidarity” or “community” because I think it’s the contemporary expression of that ideal—it’s not sexist. And I remembered when I had this notion of freedom and work, which was here at Wesleyan, so I thought it would be fitting to say that, but I didn’t know what I was going to say. And my wife said, “I think you have four things, because you put diversity in there.” But I didn’t think of it until I said it. So last night I listened to it on the web just to see what the hell I said! (Laughs) And being in a chapel, I’m a wannabe rabbi, people say, or preacher, and so when I get in a chapel I’m even more inclined to [just] see what happens. So the process was really to come up with the structure of three things and then see what happens. When you’re playing jazz or rock and roll, it’s even simpler, you need a three-chord progression. If you know you are going to do A, D, and E, you’ll see what happens. EL: So we shouldn’t expect a reign of terror next year, though, right? MR: I did think of that. Somebody might say the Nazis said, “Work makes free.” So there are lots of incredibly oppressive versions of these ideals. But that’s true of great ideals—some people distort them into horrible things. And that’s something to be mindful of. But I don’t think it’s a reason not to be idealistic, it’s just a reason to be thoughtful. GD: It seems that part of the definition of freedom is having the capacity to affect one’s environment, and maybe a corresponding obligation to affect one’s environment in a positive way. I’m wondering what your thoughts are on Wesleyan’s connection to Middletown and how that might play out in your administration? MR: I heard really positive things about how Doug Bennet and Midge Bennet have built partnerships with Middletown. And I want to understand that better. My own interest and values lead me to want to develop connections for the students and the institution with the city we’re a part of and the state we’re a part of. I think it’s really important for students to understand not only the campus they’re on, but the city they’re in, and the political context in which they live—beyond the campus. That would mean like service learning, which I know has become more important at Wesleyan over the years, but it also means project-based curriculum, which interests me a great deal. Where students can actually take classes, the content of which is heavily inflected by practical projects in the world, and that can be in a science class or in a political science class [or others].  I think that participation is a key value in the arts, so students learning how to not only perform for spectators but to engage people into participatory art-making is a really interesting experience and very educational, and it also is great for the people who are invited into the mix of making. And I’ve done all those things with colleagues in Claremont and Los Angeles, Oakland, and San Francisco, and I would expect to find opportunities to do that here. I haven’t been to the Green St. Center yet, but I understand it’s a really interesting place and I’ve gotten notes from people who work there and I look forward to visiting it. And there may be other avenues for that connection to happen, and I would certainly be very supportive of developing those connections. They’re not just expressions of altruism, which is not a bad thing, but they are really vehicles for learning—for students, faculty, and staff. One of the things you learn is about citizenship and being part of the community, which I do think is connected to the values I talked about yesterday.  I muck around on the guitar and piano, it’s not something I can do unless it’s a really good party, but playing a little bit changes the way you listen, and dancing a little bit changes the way you watch, and I think that’s a very important experience to have. The practice of creativity, the practice of thinking, changes the way you understand what people who are experts in the area say.  GD: Should there be a mandatory commitment to civil [or] civic service? MR: There could be, you know that’s where you would no doubt detect a contradiction, if I wanted that, because I don’t like mandatory commitments. I have in the past thought about that. At other places like CCA my first thought was, “We have requirements, why don’t we have a service learning requirement and why don’t we just hire people that teach that way,” but it was the wrong thought. Because what happens when you make things a requirement is that people aren’t interested in them. So I don’t know if requirements are the answer here. I kind of doubt it, just given a little of what I know so far. But making it really great is what draws people, and then they’ll want to do it. Again, I do think sometimes structure is important, but my prejudice is to not go to that structure too early. Invitations are better than force.  EL: So you mentioned yesterday at the student talk that you had been involved in a takeover of the president’s office. I was wondering what you were protesting.  MR: Oh, God, did I say that? That had to be improvised. We were protesting apartheid. The reason I hesitate is because the other big protest I was involved in was—well, less involved with when I was here afterwards—was Seabrook, New Hampshire, a very hot issue in the late ’70s. The nuclear power plant at Seabrook gives me food for my political philosophy classes today.  EL: So you guys took it over for a day, or a couple of days? MR: No, I don’t think it was a couple of days. I remember it was probably a day, a day or so. It would be, I guess, ’77-’78, that year. I remember President [Colin] Campbell coming in and being very gracious. What happened was, and I think this is what we wanted, is that it became a conversation about how to engage the issue at the university level. I’ve learned about it since and talking with people about [how] what the University did in regard to divestment in companies doing business with South Africa was really an engagement with those companies, forcing them to explain themselves in a public way, because as stockholders you had this kind of leverage, which if you just sold your stock you’d no longer have. So it was a very interesting process, much more sophisticated than I understood at the time. Part of it came out of the fact that there was a community revulsion against the regime in South Africa—it took longer in a way, but I think in a way it was a more significant action of engaging these companies, forcing them to respond to these political and moral issues. GD: So success can be a difficult thing to define for many at a university like Wesleyan. I’m wondering: how would you measure [the] success of Wesleyan while you are there? Would you rely on the U.S. News and World Report? What would be the criteria that you would use to measure how you’re doing, where you can improve? MR: There are a couple of things. It’s a really important question, and I want to determine in the next few months which metrics would be the most important and to use them. Everyone seems to agree that Wesleyan is underresourced in regard to its competitors—the endowment per student is not as high as it is at Williams and other schools. One very important goal for the future, that the Bennet administration has made very good progress on that needs to be continued and accelerated, is to bring more resources to the University. A key metric for me will be successful fundraising. I think we talked last time about doubling the endowment. It seems like a good goal to have. I don’t know how much time it will take to do that, but in the first year I’ll know how much time. We should double the endowment, and part of that will be from intelligent use of the resources, and part of it will be from bringing new resources, a combination of those.  One of the really important aspects of that is that it will allow us to provide more access to people. I think one of the things that I didn’t make clear in my remarks yesterday—I listened to them last night—is exactly where would equality come out in policies. I think access to Wesleyan and access to universities like Wesleyan is a really important issue in the United States and internationally. A university like Wesleyan can’t be a place for only rich people. Need-blind admissions is really very important, but nonetheless the preparation you need to be successful in the admissions process is clearly very biased by class, at least—other things too, but class plays a big role. To have a university like Wesleyan make the contribution to opening up this dream of great education to more talented people who don’t have the advantages of education earlier on—that’s the question. I don’t have the answer yet. And I don’t think Wesleyan can do it alone, but I do think Wesleyan should be a leader in this area, and Wesleyan should work with other institutions to create avenues for success for people—whether it’s for middle school or high school —to give them the preparation so they can go to an elite university—that could be Wesleyan, Harvard, oh, Williams wouldn’t count—kidding!—but, you know, to play a role [in] making education function not just as a way of supporting privilege but as a way of giving access to the kinds of values I talked about yesterday. Bringing resources is going to be important to do that—you need money to do that. You’re not going to take it out of the current program, that’s impossible.  Another measure will be who wants to come to Wesleyan. I want the applicant pool to continue to grow. It grows nicely. We have incredibly great applicants. I looked at the profile of the class coming in—it’s incredibly impressive. Let’s take the things we like the most of the applicant pool and let’s say, “How do we improve those things by five percent to seven percent per year?” Make it really hard, actually—it’s a tough goal to reach. The demographics are going to flip soon. Right now you don’t have to be a genius to get more applications because more people are at that age, but in a few years that will change. So how does Wesleyan know people are finding out how great the place is? More people want to come here. More people, not just in Boston, New York, and this corridor, but in San Antonio, Austin, Chicago, Los Angeles, San Francisco—they say, “Oh, Wesleyan, that’s the hot school, that’s the place. I want to go here.” You know that not just from a newspaper article or something, but from how many qualified people are trying to get in. I’m not trying to expand the size of the student body, [but] it’s a good way of seeing how the message is getting out in the world. And the more the message gets out in the world, the better it is not only for the metrics, but for the people with a Wesleyan diploma, because people just value it more and more in the world. It’s already valued very highly, of course, but more and more people will value it very highly. People who know about education know about Wesleyan, but that’s only one group of people. As you move toward the Midwest and the West, the school is not as well-known as it should be, and certainly there’s been progress there—more applications from California and elsewhere. That can accelerate. What is the level of student satisfaction? That’s a metric that’s very important. I’m not sure what the best tool for measuring that is yet. Retention is very high, but Wesleyan is in a way beyond retention. You don’t just want to retain people, you want them enthusiastic and excited about being here. How you measure that—it’s harder to measure, but we’ll figure out some way to measure that. Faculty engagement and satisfaction. Are you able to hire the very best people? When you do a search, do you get the first choice? I think we do most of the time—I can find out what the number is, but we obviously have to be even better. We’re not so close to perfect that we can’t be better in that. But how do you retain people, how do you reward them for the great work they do? That’s another metric.  Those would be some of the more easily measurable things. The partnership with the city, the role in politics, is harder to measure. I do think there you get to issues of identifying stakeholders—people whose opinion about the place you care about—and somebody other than the president will find out: how do they think we’re doing? Don’t ask Roth’s mother how he’s doing, ask the mayor of Middletown, or the senator, or people who are running the community health center. Once you identify that constituency pool, you identify people whose thoughtful evaluation of performance you take into account. So those are some of them.  EL: So there’s a popular sentiment on campus that Wesleyan every year is getting less “weird”—the key word. For some reason the students have this image of the ’70s, when you were here, as the weird time, that Wesleyan was at its weird peak. I was wondering if you could talk a little bit about how Wesleyan was “weird” or how this label to some extent got put on Wesleyan? MR: (Laughs) I don’t know. That’s a good question. I didn’t think we were weird. I’ve heard this—I don’t know how popular it is. American education has gotten more corporatized—it’s not just Wesleyan, look at the country. But at the same time, there’s a kind of not just tolerance but an acceptance of diversity and of self-expression and experimentation that now—it’s taken for granted at Wesleyan. It wasn’t like that in the ’70s. It may have felt weird to people [then] because people were more likely to have led sheltered lives before they came here and be surprised by differences in sexual lifestyles or identity or politics or other things.  I think now people perhaps just take a lot for granted in terms of the embrace of difference within a community. Last night after the student reception, I was invited to dinner at Open House—I didn’t know what that was. I think it’s great. I don’t know that when I was a student that that would have happened with the president. I think it might just not have happened. And so that’s a good thing. The fact that it’s not weird that they asked, or that someone said, “Ooh, that’s weird,” or something. I think that’s good, actually. “Yeah, I’d love to go to dinner there, let’s talk about this or that.” It would be a mistake to put too much of an emphasis on idiosyncrasy—to search out idiosyncrasy for the sake of idiosyncrasy—that seems kind of childish to me, actually. Sometimes there are real principles at stake, and you want to make sure that people have a certain level of freedom and have a certain level of respect, and those are really important issues. But to test those standards for the heck of it—that seems to me not very interesting. There are real issues out there that people violently disagree with off campus—starting with affirmative action, or the war, or any number of issues—take the politics where it matters, I would think. And Wesleyan could be the place where you get the tools to do that, or to learn about it, to have good arguments—not just good arguments for people with like beliefs, but how do you have a good argument or a reasonable conversation with someone who doesn’t share your views? That’s different from trying to get someone who shares most of your views to go on the edge because you say something so upsetting that even they can’t accept it—that seems puerile. So, “Keep Wesleyan Weird?”  I think that Wesleyan has been for a long time a place of serious experimentation—that’s different, I think, from what I’ve just described as childish—serious experimentation, where people are passionately devoted to exploring new territory—and the place where it comes out most importantly is in their work. They’ve thought about stuff in ways no one else has thought about it. And the teacher turns to the student and says, “You talk about this. Let’s read your poem. Because you’re doing stuff I haven’t thought of.” That happens at Wesleyan. Or you do an experiment that creates new knowledge, or you put on a theatrical production that moves people so tremendously that they are stunned. That happens at Wesleyan. That’s experimentation.  Is it weird? Yeah, it’s weird, but it’s not pursuing the bizarre, it’s creating the new. So everything I can do to help students and faculty create the new, sometimes through exploring very old things, I really want to do—but the culture of shock, or of testing, I think it’s a bit of disservice actually to the culture of serious experimentation that Wesleyan has been known for. I mean, “serious” seems like a stodgy word. Norman Brown was here in the ’50s, and Carl Shorske and Bucky Fuller, John Cage—talk about weird, right? but they were pioneers. They were changing the way people felt about education, sexuality, culture, music, and silence—they were breaking barriers, and working very hard to do it—joyously, it wasn’t just testing. GD: What’s the thing you think you know the least about, or the thing you want to learn the most about?  MR: (Laughs) There are so many. It’s hard to just say one. I guess the one at the top of my list right now is the sciences and the science building, because it’s a very important issue for the institution going forward. I’m really looking forward to learning more about scientific practice as it is now taking place and how people imagine it will be taking place 10 years from now, because I just don’t know that much about it, and as a cultural historian, I should know more about that, and it’s a really important part of understanding the world and at Wesleyan. It’s a really good thing to learn more about it, and I’ve asked the provost to send me things—research papers and articles. I love being a student, as you can tell, and this is my way of going back to school in the sciences. That’s really on the academic front.  And then—I always talk in threes—on the student side, I really want to understand why students come to Wesleyan today, what is the draw today, and what is it that makes Wesleyan compelling to somebody before they come and how they experience the school in relation to their expectations. And that’ll just be going to the dorms, or the houses, and listening to students talk about their expectations and experience—that will be fascinating for me. I could see the enthusiasm of people for the place yesterday, and now I want to find out what’s the content of that. And then the third one would be the relationship of the campus to the city, the region, and the state. Just getting a handle on that will be important to me as someone leading an institution that can make a real difference in the city and the region."
"Point/Counterpoint","2008-03-04","by ,","Culled from 47 faculty and administration proposals, the five initiatives recently presented by President Michael Roth offer a wide swath of ideas on academic, extracurricular, and admissions changes within the University. We applaud Roth for drawing upon the faculty’s experience and insight when attempting to determine new policy. While recognizing that many of these initiatives remain in the planning stages, however, we cannot help but temper praise with frustration over each of the initiative’s often amorphous and ill-defined nature.  1. Strengthening the University Experience: Greater encouragement for seniors to undertake “capstone” projects may convince certain departments to broaden opportunities for those who wish to complete something other than traditional senior theses. Mandating a common class for all first year students, though, would likely result in a superficial academic experience, and seemingly contradict the University’s insistence upon flexible curriculum. 2. Internationalization: Efforts to double recruitment of international students underline the key role they play in the Wesleyan community, but the University should remember that geographic diversity also extends to underrepresented areas of the United States. As for improvements within the Office of International Studies, numerous complaints regarding credit transfers point to an issue in need of immediate attention. 3. Creative Campus: The proposed expansion of writing opportunities within the University (more courses, a potential writing certificate program) reflects a positive response to student demands. Overall, though, the initiative neglects to illustrate how the University plans to foster creativity within other majors. 4. College of the Environment: Increased attention to environmental issues are not unwelcome, but we fail to see how this proposed interdisciplinary program (modeled after the College of Letters and the College of Social Sciences) would substantially differ from pre-existing programs like the Science in Society or the Environmental Studies Certificate programs.   5. Civic Engagement: This proposal’s focus on encouraging community partnerships appears well intentioned. When over 60 percent of the student body participates in some form of community service, though, how much do we really need the administration’s encouragement? We anticipate and expect more details from the administration regarding these initiatives in the coming months. If not, the time and effort put forth by consulted faculty members will have resulted in little more than high-minded rhetoric."
"Creative campus: Roth, faculty plan enhanced curriculum","2008-03-04","by Brooke Olaussen, Contributing Writer","After reviewing faculty input on various aspects of the University, President Michael Roth has outlined five broad initiatives forming a list of the University’s priorities: strengthening the undergraduate experience, internationalization, the “creative campus,” College of the Environment and civic engagement. In October, Roth invited faculty members to submit two-page proposals addressing any aspect of the University’s educational experience. Faculty members submitted a total of 47 proposals—many of which were written by several professors or entire departments. Most of the proposals focus on developing and expanding curriculum.  The main thrusts of the first initiative, strengthening the undergraduate experience, include hiring more professors, creating a more concrete first year program and encouraging all students to do some type of last year project that would function as a “capstone experience.”   The particular components of this plan have yet to be decided upon. One possibility is to broaden first year initiative courses to include a required freshman course, the goal being to give more shape to the first year experience at the University. Roth would also like to see each student do some sort of senior thesis or project.  “Many students do this already but we haven’t successfully described this experience and tied it together in a coherent way,” said Roth.  According to Roth, this means broadening the idea of a written senior thesis to whatever could be creatively integrated into the student’s particular discipline.  The second area of focus looks to change the way the University approaches international studies. Referred to as “a stool with three legs,” this initiative looks to globalize the curriculum, double the number of international students, and strengthen study abroad programs. A Middle East Studies Program is in the works.  Roth also says that he would like to see more languages taught here. Parts of this language initiative will be implemented as part of the Summer Language Institute.  “Creative campus,” another initiative, will be an effort to expand students’ creative work to all areas of campus, from arts departments to molecular biology. Roth would like to see students exploring creativity through experimentation that would serve their respective disciplines.  “Wesleyan has an edgy, creative, experimental, risk-taking student body,” Roth said.  He feels, however, that the creative work produced is not consistent across the university, and would like to make it easier for students to be creative in their field of study. As part of fostering a more creative campus, Roth wants more art courses and an expanded writing program. The new writing program is likely to include a writing certificate program, possibly a writing major in English, more writing courses and writers on campus, a Writers’ House that coordinates events with the Writing Program’s Distinguished Writers series and an expanded Wesleyan Writers Conference. “President Roth has expressed his strong interest in Wesleyan’s writing programs,” said Director of Writing Programs Anne Greene. “The particular configuration of the new programs is being discussed.” The idea of the Writers’ House is to have a center for student writers that will involve them closely in writing activities and writers’ visits. Within a year, the Writers’ House may also include a student residence and coffee house. The non-resident house programs will begin next year, using the Russell House as a center.  New writing tutorials are being planned, as are other workshops and special events for students. Greene is now asking each guest writer who visits the University to compile a reading list of books for students who are interested in training themselves as writers. These reading lists will be used in new student-run writing tutorials. Alex Ross, the well-known blogger and music critic for the New York Times, is coming this Wednesday and will be preparing the first booklist. Also being considered is a graduate studies program in writing as well as a screenwriting program.  The fourth initiative is the College of the Environment, which will be an enhanced environmental studies program modeled off of the College of Social Sciences and College of Letters.  “[The goal is to] graduate students who are conversant in environmental issues,” said Professor of Earth and Environmental Studies Barry Chernoff, who authored the proposal for the College of the Environment. “We have to understand better our relationship to the environment in a deep and scholarly way. If it comes to pass, the program will work to graduate citizens to change the fabric of life for the country.” The environmental studies major would be the second component of  the  major. The senior “capstone experience” would integrate environmental studies into whatever is appropriate in the student’s primary field of study.  “Environmental issues by their nature are multi-disciplinary,” Chernoff said. “It’s so central to campus, environmental studies in a sense belongs on Andrus Field.” As with the other initiatives, the time frame for this program is still uncertain. An enhanced commitment to civic engagement is the last of the five categories outlined in the plan. Focusing on “action and study,” Roth would like to bring programs like the Green Street Art Center, Traverse Square and WesPREP together in a coherent form and facilitate monetary donations to these programs.  “I’d really like every student to have the possibility of some dimension of civic engagement in their Wesleyan education,” Roth said.  Professors were pleased with Roth’s openness to their ideas and criticisms.  “It is a way of honoring a faculty to ask their opinion of what direction should the university go,” said Professor of American Studies Claire Potter. “It speaks well of a president when he begins his work at the institution by doing this.” After all of the proposals were submitted, faculty, administration and senior Wesleyan Student Assembly (WSA) representatives convened to discuss, rank and roughly group the proposals. Since not all of the proposals can be implemented, they tried to look for  themes that could be developed into areas of focus. Proposals called for earlier academic commitment or major declaration, more COL and CSS-like programs and more graduate studies programs (in areas such as writing and film, for example). A proposal for a medical school at Long Lane was even considered. Other proposals include creating a digital library and a racial and ethnic-directed studies concentration for freshmen and sophomores.  Students were also impressed by the initiatives. “The mere fact that he recognizes activism and creativity at Wesleyan is enough for me,” said WSA member Alex Levy ’08 said. “I appreciate that. It’s unrealistic to expect sweeping changes. In six months Roth has done a lot.”  In his hopes to engage all members of the University community with these initiatives, Roth will soon be inviting both students and alumni to share their ideas for the University."
