"File","Question","Answer1","Answer2"
"1","When you think of 'civic engagement' – what comes to mind?","Volunteer work, helping community",""
"1","When you think of 'civic engagement' – what comes to mind?","Attending town meetings",""
"1","When you think of 'civic engagement' – what comes to mind?","Allbritton",""
"1","When you think of 'civic engagement' – what comes to mind?","Board service, commissions",""
"1","When you think of 'civic engagement' – what comes to mind?","Marching on Washington",""
"1","What happens in your area that you would categorize as civic or community engagement?","Arts: reaching out to different aspects of the community for specific events",""
"1","What happens in your area that you would categorize as civic or community engagement?","Bookstore to Main Street",""
"1","What happens in your area that you would categorize as civic or community engagement?","Information sharing, making info public",""
"1","What happens in your area that you would categorize as civic or community engagement?","Student employment and mentorship",""
"1","What happens in your area that you would categorize as civic or community engagement?","Tell stories that inspire, what they cover influences",""
"1","Are there barriers that hinder you (or your department) from doing this work?","Off campus events become difficult to cover, logistics",""
"1","Are there barriers that hinder you (or your department) from doing this work?","Time, logistically",""
"1","Are there barriers that hinder you (or your department) from doing this work?","Time in the broader sense",""
"1","Are there barriers that hinder you (or your department) from doing this work?","There’s not a mechanism in place to make community activism easier",""
"1","Are there barriers that hinder you (or your department) from doing this work?","Not knowing about events",""
"1","Are there barriers that hinder you (or your department) from doing this work?","One person focused on community collaboration (CFA)",""
"1","Are there barriers that hinder you (or your department) from doing this work?","Not a focus, no explicit person",""
"1","Are there barriers that hinder you (or your department) from doing this work?","Primary focus is more important",""
"1","What supports (philosophical, policy, supervisory) are there currently in place that are helpful for doing this work?","Emphasize stories that show engaged students, but not necessarily knowing how staff and faculty engage",""
"1","What supports (philosophical, policy, supervisory) are there currently in place that are helpful for doing this work?","Once you make connections with the students, they help you make these connections",""
"1","What supports (philosophical, policy, supervisory) are there currently in place that are helpful for doing this work?","Asked for examples of how faculty and staff are currently engaging.",""
"1","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Are people in these positions representing themselves or the University?",""
"1","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Volunteer days",""
"1","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Listing of opportunities, like classifieds",""
"1","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Hosting organizations on campus looking for volunteers",""
"1","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Formal system of recognition, annual lunch",""
"1","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Opportunities to mentor high school students",""
"1","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Brought up week of service, alumni week",""
"1","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","How do we show a balance between what looks glamorous and what is authentic work? ",""
"1","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Course on how to be a board member",""
"1","Do you think it’s important for a University to be involved in this kind of work? Why or why not?","Resounding yes",""
"1","Do you think it’s important for a University to be involved in this kind of work? Why or why not?","It’s important to take what we learn here at Wes and share them elsewhere",""
"2","When you think of 'civic engagement' – what comes to mind?","Town hall meetings, voting, political discourse, volunteering, staying informed about local issues",""
"2","What happens in your area that you would categorize as civic or community engagement?","Friends of the library, providing information, evaluate sources of different kinds, community project that require library resources - digital images, non-Wes people in the library we help them too.",""
"2","Are there barriers that hinder you (or your department) from doing this work?","Time, staffing, spaces, not knowing who to contact - triaging, how to get the word out, staff clearing house, calendar with community needs, partnership on campus - how do we find those",""
"2","What supports (philosophical, policy, supervisory) are there currently in place that are helpful for doing this work?","Catologing - metadata organization, academic computing managers were a great bridge to the faculty, connection to the CPE program, Feet to the Fire initiative - Riverfront Festival, Big Draw, Science Day, Sports Day.",""
